,text,labels,predicted_label
2189,A little baby.,RAJ,OTHERS
2190,"I made a boo-boo, all right?",SHELDON,RAJ
2191,"Hey, I brought over It’s a Wonderful Life if you guys want to watch it later.",OTHERS,RAJ
2192,"289, right between the Game Show Network at 288 and the East coast feed of the Disney Channel on 290.",SHELDON,RAJ
2193,"Oh, I love that movie.",OTHERS,LEONARD
2194,"Oh. Okay, so we must be under the dining room.",HOWARD,RAJ
2195,The place looks great. Did you guys get a maid?,OTHERS,HOWARD
2196,We could go to a bar.,PENNY,LEONARD
2197,No problem.,OTHERS,SHELDON
2198,Yes.,HOWARD,SHELDON
2199,"Oh, just, you know, moving a… time machine.",LEONARD,LEONARD
2200,"The reason that date is, like, so totally fixed in my memory is that I had the privilege to be witness to one of the most heroic acts I’ve ever seen in, like, ever.",PENNY,LEONARD
2201,"Of course I’m listening. Blah blah, hopeless Penny delusion, blah blah blah.",SHELDON,LEONARD
2202,What happened?,LEONARD,SHELDON
2203,And you’re certainly not going to win a Nobel Prize.,SHELDON,LEONARD
2204,I call everyone sweetie.,PENNY,SHELDON
2205,"Please, I think the woman can manage to put a wig on by herself.",OTHERS,LEONARD
2206,"It is. He’s a grown man. He’s just gonna live there rent-free? How is that gonna motivate him to get off his butt and get a job? I mean, do you even have a plan?",HOWARD,HOWARD
2207,"Padma Kapur, Neha Chowdury.",RAJ,SHELDON
2208,"No, it’s true, I did a series of experiments when I was twelve, my father broke his clavicle.",SHELDON,SHELDON
2209,Probably ’cause you got to see your man up there rockin’ the mic.,LEONARD,SHELDON
2210,"2311 North Los Robles Avenue, Pasadena, California to International Space Station. Can you read me? Over.",SHELDON,SHELDON
2211,I think the word you’re looking for is befuddled.,LEONARD,SHELDON
2212,Otherwise we’d love to.,LEONARD,SHELDON
2213,Your new girlfriend. Have fun tonight.,HOWARD,LEONARD
2214,"That bad, huh?",PENNY,SHELDON
2215,I played that pretty well.,LEONARD,LEONARD
2216,"You know what, I’m not gonna go either. I’m a father now. I’d rather spend time with my family.",HOWARD,RAJ
2217,"But the truth is I can no longer balance a full-time career, a popular Internet show, and a girlfriend.",SHELDON,HOWARD
2218,"Sheldon, you can still go on the trip in a few weeks. Just help us out.",LEONARD,SHELDON
2219,"Leonard, remember when I said it was on? Well, now it’s junior rodeo on.",PENNY,OTHERS
2220,Oh!,HOWARD,SHELDON
2221,"This is not the time for joking. We’re doing serious research, which requires complete and utter focus.",SHELDON,SHELDON
2222,Get Stuart or Raj to do it.,HOWARD,LEONARD
2223,"Long story short, she’s on the No Fly List and we might have been followed here by a drone.",OTHERS,LEONARD
2224,"Well, thank you for sharing it with me. I won’t tell anyone.",PENNY,RAJ
2225,"The Angels wanted an astronaut to throw out the first pitch, so guess who they called?",HOWARD,SHELDON
2226,"Howard, you know we’re saving up for a house.",OTHERS,SHELDON
2227,"Wow. Didn’t even make it out of the parking lot. Uh, you know what, enough about Leonard. Let’s talk about you. What would you like to do while you’re here?",PENNY,LEONARD
2228,"Oh, dear Lord, they re-did the menu.",SHELDON,SHELDON
2229,"General Order 104, Section A does not apply in this situation.",LEONARD,LEONARD
2230,Do you remember the grant proposal I submitted to the National Science Foundation to detect slow-moving monopoles at the magnetic North Pole?,SHELDON,RAJ
2231,"Well, Howard, what about you?",SHELDON,OTHERS
2232,"Oh, Bernadette, please play my clarinet.",LEONARD,LEONARD
2233,It’s a lot cooler when girls aren’t looking at it.,LEONARD,SHELDON
2234,"I just meant that you’re not married and your boyfriend’s kind of, Sheldon.",OTHERS,RAJ
2235,"No, I told them they could have you tomorrow night. Tonight, you belong to me.",OTHERS,LEONARD
2236,Leonard and Penny.  Leonard and Penny.  Leonard and Penny.,SHELDON,LEONARD
2237,"Yeah. So, how you doing?",PENNY,SHELDON
2238,Check.,LEONARD,LEONARD
2239,"More? I mean, look at us. It’s only been three years, here we are in bed together.",SHELDON,SHELDON
2240,What’s up?,PENNY,PENNY
2241,"You’re good-naturedly ribbing me, aren’t you?",SHELDON,LEONARD
2242,"Great. You know, this is how Anything Can Happen Thursday turns into It Won’t Stop Coming Up Friday.",SHELDON,PENNY
2243,"Well I assume she meant that the two of you together would constitute a couple that others might consider cute. An alternate, and somewhat less likely interpretation, is that you could manufacture one. As in, oh look, Leonard and Lesley made Mr and Mrs Goldfarb, aren’t they adorable.",SHELDON,SHELDON
2244,"Then we’ll track its progress through our social group and interpret the results through the competing academic prisms of memetic theory, algebraic gossip and epidemiology.",OTHERS,HOWARD
2245,You sure?,HOWARD,LEONARD
2246,Walking away.,SHELDON,PENNY
2247,"All right. Come in. You look positively orange with loneliness. No, I don’t see that catching on at all.",SHELDON,SHELDON
2248,"Okay, listen to me. Playing games is not gonna help get Amy back.",PENNY,OTHERS
2249,We’re not playing. This is real work.,LEONARD,PENNY
2250,He’s not braver than whoever uses the bathroom after The Thing?,LEONARD,SHELDON
2251,Go.,PENNY,LEONARD
2252,"Okay, that’s it, I don’t know how, but she is cheating. No-one can be that attractive and be this skilled at a video game.",SHELDON,SHELDON
2253,"Yeah, maybe it’s good you got us talking about this stuff.",LEONARD,LEONARD
2254,They’re comfortable.,PENNY,SHELDON
2255,"I wonder if it’s from, like, ancient Rome where they’d actually chop somebody’s ass off and then go, here. You know, to appease Loseroneous, the god of losers.",PENNY,LEONARD
2256,What’s up?,PENNY,LEONARD
2257,"Come on, snipers.",LEONARD,LEONARD
2258,"Yeah, it’s fine.",PENNY,SHELDON
2259,Don’t you think looking for a new city to live in is a bit of an overreaction?,LEONARD,SHELDON
2260,Why didn’t you wear your contacts? Don’t you like them?,OTHERS,HOWARD
2261,"Ugh. Hey, Sheldon? Hi. This came for you today. It’s from your mom.",PENNY,SHELDON
2262,"Because I’m not interested in getting published in Mad magazine. Zingers fly fast in the Thunderdome, Barry.",SHELDON,HOWARD
2263,"Yes, yes. Yeah, I’m definitely going with colonoscopy.",SHELDON,SHELDON
2264,"Well, why don’t we take it home and put it in our freezer?",OTHERS,LEONARD
2265,That was nice.,OTHERS,PENNY
2266,Yeah. So?,LEONARD,LEONARD
2267,"Wait, that’s an option? I didn’t know that was an option.",HOWARD,SHELDON
2268,"It’ll give you confidence. You know, sometimes when I’m feeling all stressed out about something, I go out and buy a cute top or a fun skirt and I have a whole new outlook on life.",PENNY,LEONARD
2269,"Oh, why? Do you not want to go?",LEONARD,SHELDON
2270,"Um,yeah, yeah, that sounds great, let me just get my jacket.",PENNY,LEONARD
2271,No.,OTHERS,PENNY
2272,Any group big enough to trample me to death. General rule of thumb is 36 adults or 70 children.,SHELDON,LEONARD
2273,"Okay, yeah. What do we have to lose? I’m a little nervous.",LEONARD,OTHERS
2274,"Really? A blazer? All right.  Yes, hello. This is Dr. Sheldon Cooper. Yeah, I’m at 2311 North Robles Avenue. Yeah, I’d like to report a dangerous wild animal. A blue jay. I’m sorry, this is Animal Control. I don’t understand the laughter. No, the bird is not in my home. If he was in my home, I obviously would have called 911. Sir, I have no doubt that there are things that you’re frightened of. Being stuck in a dead-end public service job? Or your wife stepping out on you because you’re stuck in a dead-end public service job? Or spiders? Don’t you think I tried making cat noises?",SHELDON,SHELDON
2275,"Okay, now I just need to make sure I have a Lalita before I meet the grasshopper. It’s a sweet green miracle.",RAJ,LEONARD
2276,And?,LEONARD,LEONARD
2277,"That’s enough, Sheldon.",LEONARD,PENNY
2278,Did he help you make a decision about the movie?,RAJ,PENNY
2279,"You know, the best thing about being in a committed, monogamous, mutually supportive relationship is that even if you have different ideas, you can have a spirited debate, yet still care for, even make love with…",LEONARD,PENNY
2280,"Believe it or not, Amy has embarked on a campaign to increase my feelings for her by making me happy.",SHELDON,SHELDON
2281,"Long, long night.",LEONARD,SHELDON
2282,"I didn’t know what else to do, he’s lost all focus, every day he’s got a new obsession.  This is a particularly disturbing one.",LEONARD,PENNY
2283,"Ah, yes, online gaming addiction. There’s nothing worse than having that multi-player monkey on your back.",RAJ,RAJ
2284,"Oh, no worries, I explained my predicament to our letter carrier. He was sympathetic. His exact words were, Got your back, Jack. Bitches be crazy.",SHELDON,RAJ
2285,"Well, while we wait, would you like to see Tobey Maguire’s prostate sonogram?",OTHERS,LEONARD
2286,"Well, there’s some value to taking a multivitamin, but the human body can only absorb so much, what you’re buying here are the ingredients for very expensive urine.",SHELDON,SHELDON
2287,"So, it’s fine with you if I’m not smart.",PENNY,LEONARD
2288,"All right, you’ve made your point. A fine prank, very amusing. Now get it out.",SHELDON,SHELDON
2289,"Oh, yeah, I’m wondering about that. You said it was working when you moved in.",PENNY,HOWARD
2290,Hold on. What’s in it for us?,HOWARD,SHELDON
2291,"Uh, peace out!",SHELDON,SHELDON
2292,No.,PENNY,LEONARD
2293,"If you’re not up to hosting Christmas dinner, I’m happy to do it. You can even bring your father.",OTHERS,RAJ
2294,"See a Penny, pick her up, and all the day you’ll have good luck.",HOWARD,SHELDON
2295,What’s so great?,OTHERS,LEONARD
2296,"And it looks like she lost a lot of weight, damn it.",PENNY,RAJ
2297,Leonard.  Leonard.  Leonard.,SHELDON,PENNY
2298,I didn’t buy it. I made it.,HOWARD,LEONARD
2299,"Mm, just down there.",LEONARD,OTHERS
2300,I’m serious. I’ll do it.,LEONARD,SHELDON
2301,"I was when I came in, but it’s amazing what liquor does to guilt. Besides what you might not know is, Bernadette is planning on breaking up with Howard.",RAJ,SHELDON
2302,Who are you?,LEONARD,SHELDON
2303,I still think he looks like someone’s pet. Maybe we should put up posters.,OTHERS,RAJ
2304,"Okay, the best I can tell, there are eight other campsites nearby. Mostly science nerds like us, but just over yon ridge are two not unattractive middle school teachers who reek of desperation.",HOWARD,LEONARD
2305,"No, he did not.",OTHERS,LEONARD
2306,You know what? It’s probably fine.,LEONARD,LEONARD
2307,Leonard’s really one of a kind.,OTHERS,HOWARD
2308,Please be good. Please be good. Uh-huh. Uh-huh. Okay. She writes like she cooks.,LEONARD,LEONARD
2309,"As I’ve stated before on numerous occasions, the only sea creature I would even consider being eaten by is the Kraken, because the last words I would hear are “Release the Kraken.” That never gets old. “Release the Kraken!” Oh, chills. Besides, I’m having dinner with Amy.",SHELDON,LEONARD
2310,"Mm-hmm. Great. Hey, can I ask you something?",LEONARD,SHELDON
2311,Terrific.,LEONARD,PENNY
2312,You’re also too sensitive. Women don’t want that either.,OTHERS,PENNY
2313,You need to take that?,HOWARD,SHELDON
2314,You said we were invited.,SHELDON,LEONARD
2315,"Great, and just so you know, I’m not getting rid of all your stuff.",PENNY,SHELDON
2316,Oh!,PENNY,SHELDON
2317,Wait.,OTHERS,LEONARD
2318,Father.,SHELDON,SHELDON
2319,You know what would show them? I should move in here with you.,OTHERS,HOWARD
2320,You want to go again? Let’s go.,HOWARD,RAJ
2321,"Look, we can still have a nice night. Just tell me where it is.",HOWARD,PENNY
2322,"Yes, you’re using chocolates as positive reinforcement for what you consider correct behaviour.",LEONARD,SHELDON
2323,"Oh, come on, you can’t say oh my, and then not tell me.",RAJ,LEONARD
2324,"Perhaps you’d prefer this one. The itsy bitsy spider is not an insect at all, because it haseight legs and two body parts.",SHELDON,LEONARD
2325,I’m sorry?,PENNY,SHELDON
2326,I trust this clarification allows us to return to boy-slash-friend-slash-girl-slash-friend status.,OTHERS,PENNY
2327,"Look, I don’t know what the best decision is, either. But whatever we choose, if we’re not happy, we can undo it.",HOWARD,PENNY
2328,"No, visiting professor. Anyway, the local cuisine was a little more sausage-based than I’m used to, and the result was an internal blitzkrieg with my lower intestine playing the part of Czechoslovakia.",SHELDON,SHELDON
2329,Great.,PENNY,SHELDON
2330,"Look, I’m still happy to drive you to work. Nothing’s changed in that regard. We’re still roommates, we’re still friends.",LEONARD,HOWARD
2331,"Oh, this is neat. Think about all the action figures we’ve bought over the years. It would be kind of cool to have ones that look like us. Don’t you think?",LEONARD,RAJ
2332,Oh. All right. I doubt anyone would risk the stiff penalties for impersonating a federal officer just to ask questions about a minor league engineer with an unresolved Oedipal complex.,SHELDON,PENNY
2333,"Oh, that’s preposterous. I’m not pining over anyone.",SHELDON,SHELDON
2334,"Okay, that’s enough. Write down loving son.",RAJ,HOWARD
2335,"Sheldon, are you aware that your sister is an incredibly attractive woman?",LEONARD,SHELDON
2336,"Okay, I’m sorry, but that makes me a little uncomfortable.",HOWARD,SHELDON
2337,"You better find my husband’s mother ’cause one way or another, w e’re walking out of this airport with a dead woman.",OTHERS,LEONARD
2338,Are we even in a good school…? Ow!,HOWARD,SHELDON
2339,"Don’t worry, Officer. They just love each other. We’re not smuggling drugs.",SHELDON,PENNY
2340,What?,LEONARD,HOWARD
2341,But this isn’t about the jewellery. This is about me having a place where I can open up about my feelings.,RAJ,OTHERS
2342,I have an override switch.,OTHERS,SHELDON
2343,"He’s right. If you think about it, we’re all in charge.",RAJ,LEONARD
2344,Did your boyfriend make you type that?,PENNY,LEONARD
2345,"No, hold on. All canines instinctively know how to swim. Why wouldn’t a werewolf have the same abilities?",OTHERS,SHELDON
2346,"That’s true. Oh, it’s a good thing I had a nap.",SHELDON,SHELDON
2347,Peering through his telescope at the birth of the cosmos.,RAJ,HOWARD
2348,"Hey, Amy.",OTHERS,LEONARD
2349,To the Neil Mobile.,OTHERS,LEONARD
2350,Do either of you guys know how to fish?,HOWARD,HOWARD
2351,"Oh, ah, right.  And now, the great Howdini’s next miraculous illusion.",OTHERS,OTHERS
2352,He was a lot more fun when he had no hope.,RAJ,SHELDON
2353,"Wait a minute, wait a minute, you want to make a hair barrette with Bluetooth?",PENNY,SHELDON
2354,Hi.,HOWARD,PENNY
2355,"Now, this is rare. I don’t know which one of you I want to stop talking first.",HOWARD,PENNY
2356,I think he looks cute.,OTHERS,SHELDON
2357,"It doesn’t matter. The woman’s not interested in me, the woman rejected me.",LEONARD,LEONARD
2358,I don’t do drugs.,OTHERS,SHELDON
2359,"Okay. Well, you know World of Warcraft?",HOWARD,SHELDON
2360,Terminator broke my phone.,HOWARD,SHELDON
2361,"Or caffeine, tobacco, sushi, soft cheese, processed meats and jacuzzis, which can all be harmful to an unborn baby.",SHELDON,OTHERS
2362,"I don’t know how that sentence could possibly confuse you, but to elaborate, I’m going to the Arctic Circle with Leonard, Wolowitz and Koothrappali.",SHELDON,SHELDON
2363,"On the one hand, if I say yes…",LEONARD,SHELDON
2364,Is this part of your super-aging?,OTHERS,PENNY
2365,"I’m sorry, I’m just having trouble believing you right now.",OTHERS,SHELDON
2366,Sorry I started without you. I’m a little nervous. It’s been a long time since I’ve been on a date.,RAJ,LEONARD
2367,Are we terrible people?,PENNY,SHELDON
2368,Really?,PENNY,SHELDON
2369,I’ll call you back.,HOWARD,HOWARD
2370,"Oh, screw Princess Punchali.",RAJ,LEONARD
2371,Thank you for coming back.,LEONARD,SHELDON
2372,I’m very congested.,SHELDON,LEONARD
2373,"You’re welcome. Now, Introduction to Physics. What is physics? Physics comes from the ancient Greek word physika. It’s at this point that you’ll want to start taking notes. Physika means the science of natural things. And it is there, in ancient Greece, that our story begins.",SHELDON,PENNY
2374,Sold.,SHELDON,LEONARD
2375,"Oh, I don’t think she’s a whore.",LEONARD,LEONARD
2376,Tell her about the uranium. Tell her about the uranium.,SHELDON,LEONARD
2377,"Oh, you’re kidding. Let me see. Well, I’ll be. Look, you can throw in a couple steaks and have a surf and turf.",HOWARD,SHELDON
2378,"Okay, um, what do you say to a graduate of the UC Berkeley physics department? I’ll have fries with that. Because his education hasn’t prepared him for a career in the sciences.",SHELDON,LEONARD
2379,You mean ’cause she has weird tattoos?,OTHERS,SHELDON
2380,Where did he pop the question? What did you say?,RAJ,SHELDON
2381,You know how the PennySaver only has my name…,SHELDON,SHELDON
2382,You’re right. Let’s talk about your grandmother.,RAJ,LEONARD
2383,I hadn’t thought about that.,SHELDON,PENNY
2384,Why do they say AA?,LEONARD,OTHERS
2385,"You know I want to marry you, but you’re only doing this because you got fired and you’re feeling sorry for yourself.",LEONARD,SHELDON
2386,Wow. Where are you going to go?,PENNY,HOWARD
2387,I don’t think Amy was eaten by a bobcat.,LEONARD,PENNY
2388,"Hello, Sheldon.",OTHERS,RAJ
2389,What makes them think they’re always in charge of everything?,RAJ,LEONARD
2390,"No, never heard of ’em!",RAJ,OTHERS
2391,Can you please come get him?,PENNY,LEONARD
2392,Didn’t.,PENNY,LEONARD
2393,Thank you.,SHELDON,LEONARD
2394,Amy.,OTHERS,LEONARD
2395,"Oh, wait. Hang on. Are you upset?",LEONARD,LEONARD
2396,"Penny, what did you say?",OTHERS,LEONARD
2397,I do. Amy and Sheldon sitting in a tree. K-I-S-S-S-S-I-N-G.,OTHERS,LEONARD
2398,Smart. Take relationship advice from a man who spent last night braiding Raj’s hair.,LEONARD,PENNY
2399,Are possums cute?,RAJ,LEONARD
2400,"No, it, it, it’s okay. Keep going?",OTHERS,OTHERS
2401,I was hoping we could talk about the money again.,LEONARD,LEONARD
2402,"You know, Sherlock Holmes liked to use cocaine to sharpen his focus. But I’m sure those Cool Ranch Doritos are doing the trick.",SHELDON,SHELDON
2403,"Great. Now that we’re all on the same page, let’s get together tonight and work on it.",LEONARD,OTHERS
2404,Very well.,SHELDON,SHELDON
2405,"Not only is he still not talking to me, but there’s this thing he does where he stares at you and tries to get your brain to explode. You know, like in the classic sci-fi movie Scanners?  You know, bzzz-pchew! Never mind. How about this one. It says, “I know my physics, but I’m still a fun guy!”",LEONARD,PENNY
2406,No?,SHELDON,HOWARD
2407,Let’s sit somewhere else.,SHELDON,OTHERS
2408,"Oh, no bubble baths either. They can increase the risk of a urinary tract infection.",SHELDON,HOWARD
2409,"Uh, that’s my water.",LEONARD,SHELDON
2410,Leonard.,LEONARD,HOWARD
2411,"Hey, you’re talking about the person I love and have been avoiding for the past three hours. Oh, man.",OTHERS,HOWARD
2412,"Inconsiderate, that is the adjective, inconsiderate.",SHELDON,OTHERS
2413,An accident.,SHELDON,LEONARD
2414,Thank you.,LEONARD,LEONARD
2415,You can’t let this kid get to you. You always knew that someday someone would come along who was younger and smarter.,LEONARD,SHELDON
2416,Buzz Lightyear is not real.,RAJ,HOWARD
2417,"Sheldon, get over here and help.",RAJ,HOWARD
2418,Astronauts saw him carrying that.,HOWARD,RAJ
2419,Just sit down and eat.,LEONARD,SHELDON
2420,You shouldn’t have made the alarm code his birthday.,OTHERS,LEONARD
2421,Sorry.,OTHERS,SHELDON
2422,"Oh, good, you’re up. Look, my car won’t start. I need a ride to work.",PENNY,HOWARD
2423,I skipped spin class for this.,RAJ,LEONARD
2424,"It’s just for my notebooks. Thanks, Penny.",LEONARD,SHELDON
2425,"I’m not answering the phone, Sheldon.",LEONARD,SHELDON
2426,How do I get 12-year-old girls excited.,SHELDON,RAJ
2427,They should. It’s one of the first things I plan to bring up upon arrival.,SHELDON,HOWARD
2428,Then let go of the ring and go.,RAJ,SHELDON
2429,"All right, then, I have no choice but to go on to plan B.",SHELDON,LEONARD
2430,"Okay, yes, I will err on the side of caution and defrost a fresh batch.",RAJ,LEONARD
2431,What do you want me to do?,PENNY,PENNY
2432,Carlsbad is only a couple of hours away.,SHELDON,SHELDON
2433,"Yes. Also, don’t forget to close the toilet or she’ll drink out of it.",RAJ,LEONARD
2434,"No, Daddy, no. There are lots of other ways to teach me responsibility. I know, you can give me an egg and make me take care of it for a week.",RAJ,SHELDON
2435,A little snack. You got any string cheese?,HOWARD,LEONARD
2436,I am forgetting nothing and I resent your tone.,SHELDON,HOWARD
2437,I’m sorry. Give him a hamburger.,LEONARD,LEONARD
2438,"Come on, Sheldon. You know all the Christmas stories, and the carols, you’ve got an eggnog moustache going on there. Just admit it. You’re getting a little Yuletide spirit.",LEONARD,RAJ
2439,"And you do it all the time. Last week in the mall at Radio Shack, we were looking for a phone with giant numbers for your mother, and I suddenly realize you’re not even there.",RAJ,SHELDON
2440,That seems a fairly efficient arrangement.,SHELDON,LEONARD
2441,"Unlike Hot Tub Time Machine, this couldn’t be more simple. When Biff gets the almanac in 1955, the alternate future he creates isn’t the one in which Marty and Doc Brown ever use the time machine to travel to 2015. Therefore, in the new timeline, Marty and Doc never brought the time machine…",SHELDON,SHELDON
2442,Are you turning it the right way?,RAJ,SHELDON
2443,Yours.,SHELDON,SHELDON
2444,Aren’t you gonna look at the board to see how right we are?,LEONARD,LEONARD
2445,Knock-knock.,SHELDON,HOWARD
2446,"Raj, you’re our group historian. Has Sheldon ever begged before?",LEONARD,LEONARD
2447,"Cut. Yikes, this guy is worse than Wil Wheaton.",OTHERS,PENNY
2448,Are you calling to ask for things that cost money?,OTHERS,PENNY
2449,That’s your opinion.,SHELDON,LEONARD
2450,"My mistake. Now, assuming the left side of a bell curve peaking around the present, that would bring the total up to 193 men. Plus or minus eight men.",SHELDON,SHELDON
2451,"Sheldon, I don’t need an alibi. Nobody’s going to ask about last night as long as you just zip your lip.  Thankyou. Now don’t worry, everything is going to be fine.",LEONARD,SHELDON
2452,Is it diet?,OTHERS,SHELDON
2453,"Where, where, where are we?",OTHERS,SHELDON
2454,"Oh, my God, oh, my God, oh, my God.",RAJ,SHELDON
2455,Interesting. You’re suggesting that we recreate the conditions of the mine to see if we can handle it.,SHELDON,SHELDON
2456,"And I really appreciate it, but now I don’t need it, so here you go.",PENNY,OTHERS
2457,"Way to think outside but pressed right up against the box, Sheldon.",LEONARD,LEONARD
2458,What are you thinking?,LEONARD,OTHERS
2459,"Yeah, well, it’s true. But the larger size of the Xbox One may keep it from overheating.",SHELDON,SHELDON
2460,Can you believe this nerd?,OTHERS,HOWARD
2461,You can’t leave. You’re a suspect in the mysterious murder of Stuart Bloom.,RAJ,PENNY
2462,And you thought it was soaping me up in the shower.,PENNY,HOWARD
2463,"I’m trying to be a better friend, but you constantly say and do irritating things.",HOWARD,SHELDON
2464,"It’s in her book, Needy Baby, Greedy Baby.",SHELDON,LEONARD
2465,"Wait, so how does the story end? Is the baby a jerk or is Bernadette a bad mother?",SHELDON,SHELDON
2466,This is an easy one. You love this guy.,OTHERS,LEONARD
2467,"Well, sorry, I don’t know any dirty jokes.",PENNY,SHELDON
2468,"No. Come on, let’s talk about our lives. Tell me something about you I don’t know.",PENNY,LEONARD
2469,"Now, for the astronomers in the audience, get ready to see the dark side of the moon. And here’s Uranus.",SHELDON,SHELDON
2470,Been there.,HOWARD,LEONARD
2471,Yes.,LEONARD,LEONARD
2472,"Hey, how’s your sister?",PENNY,SHELDON
2473,"So, it would be today? Huh. Well, I suppose there’s something satisfying about dying on my birthday.",SHELDON,SHELDON
2474,What?,LEONARD,SHELDON
2475,We’re not stopping.,SHELDON,OTHERS
2476,"Well, I would’ve slept in my own bed, but it was being used to bring shame to my family. And the memory of Gene Roddenberry.",RAJ,SHELDON
2477,"Well, I really need to go to the bathroom, and this one’s gone all cattywampus.",SHELDON,LEONARD
2478,And that’s exactly the feeling we want to address with this course of treatment.,OTHERS,RAJ
2479,"So from now on, this program will be officially known as Dr. Sheldon Cooper and Dr. Amy Farrah Fowler present Dr. Sheldon’ Cooper’s Fun With Flags.",SHELDON,LEONARD
2480,Ooh.,PENNY,LEONARD
2481,"I don’t know. Might be the New Jersey talking, but this Nowitzki broad needs to disappear.",OTHERS,SHELDON
2482,"Sheldon, the only way to get past this fear is to interact with it. Just like you did with the mailman.",OTHERS,PENNY
2483,"Now, ladies, we got a B-minus on this paper. I think if we put our heads together, on the next one we could get an A.",PENNY,SHELDON
2484,"Oh no, she’ll never go for the kid once she gets a peek at this.",HOWARD,PENNY
2485,And now you’re also an astronaut.,LEONARD,LEONARD
2486,"I’m proud of you, Leonard. Working out on the North Sea for months, that’s really something.",HOWARD,SHELDON
2487,Priya?,SHELDON,SHELDON
2488,"Mm, it’s hard to say. I can only speculate based on the data I collected watching my parents’ marriage implode. In that case, the woman dives into religion, while the man dives into a bottle-blonde bartender who tries to buy my love with action figures. Oop! Out of arrows.",SHELDON,PENNY
2489,"So, listen, do you remember when I said the similarities of the equations of general relativity and hydrodynamics suggest you could find the equivalent of Unruh radiation in a large body of water?",LEONARD,SHELDON
2490,"Tons. I’ve had, like, eight dates in the last month. And twelve if you count the ones who showed up and left.",HOWARD,SHELDON
2491,"Oh, just let me look. Oh, my goodness. I see quivering black lines. Those must be neurons, oh, they’re so thick and beautiful.",SHELDON,SHELDON
2492,No one ever does. That’s why it happens.,SHELDON,SHELDON
2493,What did your mother say when you told her you were getting married?,LEONARD,SHELDON
2494,"And, taking her first step towards a lifetime of laughter, love and, best of all, rules.",SHELDON,PENNY
2495,"Hey, we’re home. Any progress?",LEONARD,LEONARD
2496,"I’m really sorry, Sheldon.",LEONARD,SHELDON
2497,"You don’t have to worry. Unlike Amy and Priya, I know how to keep a secret.",PENNY,SHELDON
2498,"Oh, good. Wasn’t sure it was coming across.",LEONARD,LEONARD
2499,"Now, can we please change the subject?",HOWARD,LEONARD
2500,"Well, it’s like that science thing. For every action, you have a gigantic and annoying reaction.",PENNY,SHELDON
2501,"No. Um, since last we spoke, have you planned or gone on any vacations?",SHELDON,RAJ
2502,"You made God sad today, Mom.",SHELDON,LEONARD
2503,It’s just not the kind of thing you ask a guy you’ve just met.,PENNY,LEONARD
2504,"Oh, well, that kind of stinks.",LEONARD,HOWARD
2505,"Good morning. You want to go to the pool? Come on, you said it yourself, only nerds and losers stay in the room. Wow, it’s bright out. Isn’t it bright? I should probably close these curtains. Nah. Bye.",PENNY,LEONARD
2506,"Oh, no. Hey.",RAJ,PENNY
2507,"Sheldon, can I come in?",OTHERS,OTHERS
2508,"Uh, we are. In the meantime, you’re welcome to whip up a quick character and join us.",LEONARD,OTHERS
2509,"Yeah, yeah, I know, he’s the wheelchair dude who invented time.",PENNY,SHELDON
2510,"Okay, I’m an actress. Ask me again.",PENNY,LEONARD
2511,Question. Do you think your husband’s fondness for turtlenecks is an expression of longing for his missing foreskin?,OTHERS,SHELDON
2512,Hey.,HOWARD,OTHERS
2513,Oh. Done and done.,LEONARD,HOWARD
2514,You should feel a small node-like object rolling back and forth along the bone.,OTHERS,PENNY
2515,You do?,OTHERS,SHELDON
2516,I know. I feel so grown up.,LEONARD,SHELDON
2517,"Relationship agreement Section 4, Boo-boos and Ouchies. You have to take care of it.",SHELDON,HOWARD
2518,Do you mind if I spend the weekend playing video games with the guys?,LEONARD,LEONARD
2519,"Well, sounds right. Can, can I get out of this muumuu now?",OTHERS,SHELDON
2520,"Sheldon, I know your present is for us to be intimate tonight.",OTHERS,PENNY
2521,"You know the pale blue of Luke Skywalker’s lightsaber, before it was digitally remastered?",SHELDON,LEONARD
2522,Are they working on that?,PENNY,LEONARD
2523,"Ah, look at that. I have a date. I love America again.",RAJ,RAJ
2524,Fine.,PENNY,SHELDON
2525,I fail to see how a relationship can have the qualities of a geographic location.,SHELDON,OTHERS
2526,Hey. Isn’t tomorrow your usual laundry night?,PENNY,SHELDON
2527,Will that calm my nerves?,SHELDON,SHELDON
2528,Wow. You’re not only our first astronaut. You’re also the first one of us to kick a girl out of bed. You’re like a rock star.,RAJ,RAJ
2529,"Yeah, so, when I was fifteen I met Denise Polmerry and my grade point average fell from a 5.0 to a 1.8.",HOWARD,RAJ
2530,"It’s exhausting. Do you have any idea how hard it is to laugh at a knock-knock joke that starts with knock-knock-knock, Amy, knock-knock-knock, Amy, knock-knock-knock, Amy?",OTHERS,PENNY
2531,"One, two, three, four, five, six, seven, eight, nine, ten. I meant, golly, Sheldon, you’ve been gone a long time.",LEONARD,SHELDON
2532,It’s blackmail!,LEONARD,PENNY
2533,Thanks. Oh. Great party.,SHELDON,SHELDON
2534,"You know what, you don’t have to give me this. You keep it.",LEONARD,SHELDON
2535,"It’s not a big deal. He’s just in her history class. They’re working on a project together. I don’t even know why I care. You know what, I don’t care.",LEONARD,SHELDON
2536,I’m a lamb.,RAJ,SHELDON
2537,Good to know.,OTHERS,SHELDON
2538,"Now, you just get comfortable.",PENNY,SHELDON
2539,I hope the bathroom is clearly marked.,RAJ,SHELDON
